lat_avg,lng_avg,count_qualified,percent_covered,percent_qualified,yearly_sunlight_kwh_n,yearly_sunlight_kwh_e,yearly_sunlight_kwh_s,yearly_sunlight_kwh_w,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_total,carbon_offset_metric_tons,kw_total
34.16056060791016,-117.25988006591795,2201,99.91974317817017,88.39357429718875,271814.7715942382,3463781.7462341334,10782429.276641862,8680211.217053238,1448.3571441032825,28083071.661791973,7656.316559002554,17674.25
37.489070892333984,-77.67961120605469,1293,99.87357774968393,81.83544303797468,258470.67316284176,5202939.841223144,8463227.857086176,5473161.965161127,1057.4,26953548.58353884,15822.98625257474,21675.25
32.33561325073242,-86.30780029296875,933,99.78768577494691,49.62765957446808,779005.7651184077,1710911.0602783202,3650242.9921203568,2162494.124426269,1105.0,15274067.1395752,9081.747688083613,11909.75
38.671783447265625,-90.51448822021484,1586,100.0,99.0630855715178,3922039.49649658,7294928.132446273,10487294.817199692,7291134.49113769,1052.3,35832093.23491823,30235.054785884164,29224.0
28.07134056091309,-82.60648345947266,2203,99.87244897959184,93.78458918688803,3806316.913568116,12417305.11032102,17012631.249127224,14323380.827337652,1161.95,60205325.53241582,32180.981929640675,43818.25
37.74725341796875,-84.3104019165039,860,92.6401080351114,62.68221574344023,1045675.0344238284,2888220.2427734397,3385159.766058349,3012853.5742980973,1005.55,13945103.130535873,10648.71989072016,11899.75
42.218944549560554,-83.16221618652342,890,99.17043740573153,67.68060836501901,248432.1755493164,772427.3083007811,1838600.5633789063,1609191.8355529795,956.25,5436942.789788817,4282.305903707505,4877.75
39.31710433959961,-76.6175308227539,666,99.86522911051213,89.87854251012146,28403.395385742188,237496.38516845705,420142.674169922,252186.64640502929,1035.3,12925077.145043936,8213.377685343843,10526.5
40.440460205078125,-80.0539321899414,370,99.84939759036143,55.80693815987934,216487.02243041992,353711.2840087889,783844.6913330076,490645.53683471686,948.6,2506755.679425047,2075.227614943699,2266.5
42.78915786743164,-106.36528778076172,387,26.63727959697733,91.48936170212765,395427.2474121093,1807790.763311768,1836106.186187744,2119813.303942872,1150.9,8915899.326519774,2370.8120196479804,6670.0
40.277103424072266,-75.29888153076173,577,99.76689976689977,67.40654205607477,488085.1749694824,2091040.4477355948,3869192.2472778335,946084.9700500488,995.35,11303447.586334225,7182.895941835835,9646.75
38.666282653808594,-121.16532135009766,1612,99.94182664339732,93.8300349243306,2074772.8457946784,4672052.112634283,9738821.319573974,6089713.87308349,1216.35,37463301.46271973,10213.65820656184,26178.75
36.169132232666016,-95.99739837646483,470,98.7012987012987,77.30263157894737,41585.79563598633,495051.2015930176,2611379.764312743,757922.1159912106,1103.2239616613415,5624062.524304199,3804.534235907736,4253.0
39.632659912109375,-77.66866302490233,1214,96.70836076366032,82.64125255275698,1090894.5514221191,5699873.921270753,5823174.05083008,6042734.334173579,1008.95,27574803.364032008,22827.91014990601,23330.75
41.70890426635742,-71.39575958251953,1087,99.92942836979535,76.76553672316383,474644.14779663086,3751412.343109132,3342682.6462280247,3108579.9678222686,996.2,19724325.091253664,8540.44147944312,17063.75
37.71671676635742,-122.16616058349608,1216,99.393479909022,92.7536231884058,1969287.2372436528,3564492.302563478,4155929.648443603,4726305.577490238,1229.95,28377291.797753923,7736.530095687085,19508.5
44.750045776367195,-93.14147186279298,1836,100.3657262277952,95.57522123893804,14932.81182861328,3409046.33687744,10417393.91235352,5748562.135638429,1003.0,24597599.761755336,12463.289833620413,20995.25
42.89207458496094,-78.79174041748048,1341,99.45288753799392,81.96821515892421,678579.8468322756,1356927.229040526,4565996.550653073,2704069.925982666,934.15,12080036.345739746,4414.2713600822235,10878.0
30.15133285522461,-85.55667877197266,766,99.67213114754098,83.99122807017542,1154625.5265502927,2749303.745019531,4473897.492803956,3588300.64266968,1155.096577701248,12547516.3592224,7460.578550902517,9499.25
35.168739318847656,-84.90469360351561,856,98.565965583174,83.02618816682832,1449603.7865600593,3422387.0518066376,4103670.333184815,3448031.7211425803,1050.6,23484438.571423355,17933.1200204829,18911.75
28.628721237182617,-81.37393951416014,1388,98.83148831488313,86.372121966397,4276175.81993408,7007611.9625244085,9717179.715173343,8688728.779742433,1139.8050932320457,46186740.859582536,24687.760756163487,34795.75
42.68471145629882,-83.12090301513672,1126,98.371335504886,74.56953642384106,967202.000457764,2909473.9081909163,5745590.181817623,4325077.133203122,957.95,27394748.016455077,21576.95890818849,24399.5
40.7765998840332,-74.13475036621094,303,98.68131868131869,67.48329621380846,217253.7648681641,509443.7552062988,834953.6894104009,138263.77775268556,988.55,2642500.027087402,1679.2047360678534,2255.0
34.71781539916992,-86.6061019897461,1292,99.39230249831195,87.77173913043478,2863741.3101501483,3000813.9436401366,5821315.087756345,5421328.011505126,1052.3,44616977.20257571,34070.288914573204,35569.5
28.54475212097168,-81.26717376708984,898,99.67069154774973,98.89867841409693,2501207.989965819,2763664.7492309557,4586387.789282223,4551736.741888427,1139.85,21788203.324768085,11646.241777999789,16150.5
47.74514389038086,-122.19892120361328,1061,109.49227373068432,71.30376344086021,417275.97555236827,1996716.78222351,3475940.401223757,3320378.8319061254,854.25,10679595.609881587,2839.7935765802576,11190.5
30.4480094909668,-91.0634765625,1126,99.84101748807632,89.64968152866241,1564017.1950683603,5185338.018084716,6924275.198883055,5773974.20535889,1090.55,28580982.42047728,17462.986484848814,22627.75
40.64537811279297,-89.59752655029298,1414,97.8746793697325,52.93897416697866,1811380.2250122072,3112330.684545897,4630573.692584229,3468081.41343994,1006.4,18987637.985089093,16021.734230537644,16395.5
42.28371810913086,-71.72107696533203,831,99.49281487743026,70.60322854715378,320424.10903320304,1846241.9624206547,3193978.0313720703,1807260.1097228995,982.6,13334099.0123047,5773.535559205817,11711.0
35.27324295043945,-81.02429962158203,772,97.50830564784052,65.75809199318569,302527.6510131836,2383985.386968995,3419408.2761962903,2345949.8711669925,1093.1,11242379.224066164,6599.799330959764,8878.0
29.025033950805664,-95.45288848876952,1992,99.8083373263057,95.6313010081613,3833879.485675048,6673906.110113525,10426817.862145994,10489458.213085936,1098.2,49610222.743762165,24124.779025662392,38543.5
